scope,run_id,variant,quantizer,base_bit_len,ext_bit_len,code_bits_per_dim,top_k,search_range,run_count,qps,qps_min,qps_max,recall_at_k,recall_min,recall_max,avg_us,p50_us,p90_us,p95_us,p99_us,rounds,warmup_queries,base_count,query_count,dim,build_seconds,save_seconds,total_build_seconds,index_bytes,search_max_rss_kib,build_max_rss_kib,thread_count,link_range,link_candidate_size,build_iter_count,batch_size_mb,rotator_type,source_search_csv,source_build_csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,10,1,51343.56825,,,0.56428,,,19.476636,19.152,23.262,24.652,27.552,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1125484,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,15,1,42494.91151,,,0.6744,,,23.532229,23.132,27.322,28.932,32.492,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127128,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,20,1,34839.78797,,,0.74393,,,28.702815,28.242,32.822,34.672,38.663,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127128,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,30,1,26642.86711,,,0.82222,,,37.533498,37.012,42.013,44.023,48.714,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,40,1,21380.05602,,,0.86619,,,46.772562,46.283,51.443,53.484,58.524,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,50,1,18002.84134,,,0.89414,,,55.546787,55.024,60.515,62.555,67.696,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,75,1,12745.55221,,,0.93251,,,78.458743,77.975,84.147,86.317,91.617,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,100,1,9990.226454,,,0.95013,,,100.097831,99.678,106.298,108.798,114.598,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,150,1,6866.973359,,,0.96678,,,145.624564,145.391,153.091,155.922,162.102,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,200,1,5244.72918,,,0.97451,,,190.667614,190.684,199.535,202.555,209.005,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,300,1,3469.915278,,,0.98074,,,288.191474,288.782,301.012,304.993,314.023,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,400,1,2590.707559,,,0.98346,,,385.994937,387.028,403.521,408.731,420.311,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,erq9,erq,1,8,9,10,800,1,1233.42045,,,0.98611,,,810.753543,815.071,853.713,863.984,885.277,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_erq9.csv,zsq_run_20260812T082205Z/results/build_erq9.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,10,1,38597.34289,,,0.74644,,,25.908519,25.422,30.772,32.812,37.453,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1092296,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,15,1,31121.50185,,,0.82996,,,32.132125,31.583,37.182,39.473,44.903,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1093880,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,20,1,25616.049,,,0.86585,,,39.038027,38.523,44.473,46.863,52.564,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1093932,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,30,1,19241.32105,,,0.90223,,,51.971484,51.683,58.184,60.605,66.304,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,40,1,15289.68297,,,0.92007,,,65.40358,65.335,72.446,74.786,80.356,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,50,1,12735.28586,,,0.93012,,,78.521991,78.596,86.866,89.507,95.067,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,75,1,9202.922944,,,0.94187,,,108.661129,109.298,120.539,123.579,129.97,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,100,1,7297.485827,,,0.94706,,,137.033497,138.01,152.681,156.442,163.712,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,150,1,5100.512168,,,0.95056,,,196.058742,197.885,219.896,225.387,235.378,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,200,1,3972.685786,,,0.95202,,,251.718876,254.229,283.971,291.212,303.093,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,300,1,2750.028652,,,0.95304,,,363.632575,366.537,414.141,425.242,444.814,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,400,1,2137.228489,,,0.95347,,,467.895691,471.065,535.29,551.591,578.944,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
run,zsq_run_20260812T082205Z,zsq,zsq,0,0,8,10,800,1,1121.348458,,,0.9538,,,891.783453,893.337,1031.397,1066.18,1127.754,5,1000,1000000,10000,128,71.441753,1.697028,73.501362,1033072768,1094076,4898332,32,32,300,3,1024,0,zsq_run_20260812T082205Z/results/search_zsq.csv,zsq_run_20260812T082205Z/results/build_zsq.csv
aggregate,ALL,erq9,erq,1,8,9,10,10,1,51343.56825,51343.56825,51343.56825,0.56428,0.56428,0.56428,19.476636,19.152,23.262,24.652,27.552,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1125484,4938396,32,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,15,1,42494.91151,42494.91151,42494.91151,0.6744,0.6744,0.6744,23.532229,23.132,27.322,28.932,32.492,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127128,4938396,32,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,20,1,34839.78797,34839.78797,34839.78797,0.74393,0.74393,0.74393,28.702815,28.242,32.822,34.672,38.663,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127128,4938396,32,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,30,1,26642.86711,26642.86711,26642.86711,0.82222,0.82222,0.82222,37.533498,37.012,42.013,44.023,48.714,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,40,1,21380.05602,21380.05602,21380.05602,0.86619,0.86619,0.86619,46.772562,46.283,51.443,53.484,58.524,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,50,1,18002.84134,18002.84134,18002.84134,0.89414,0.89414,0.89414,55.546787,55.024,60.515,62.555,67.696,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,75,1,12745.55221,12745.55221,12745.55221,0.93251,0.93251,0.93251,78.458743,77.975,84.147,86.317,91.617,5,1000,1000000,10000,128,73.445036,3.382707,77.54196,1065066566,1127160,4938396,32,32,300,3,1024,0,,
