variant,quantizer,base_bit_len,ext_bit_len,code_bits_per_dim,base_count,query_count,dim,top_k,search_range,rounds,warmup_queries,qps,avg_us,p50_us,p90_us,p95_us,p99_us,recall_at_k,avg_result_count,index_load_ms,index_bytes,max_rss_kib,checksum
zsq,zsq,0,0,8,1000000,10000,128,10,10,5,1000,15128.384127,66.100913,64.505000,80.896000,87.216000,100.688000,0.768540,10.000000,165.529404,1033072768,1092384,26067180930
zsq,zsq,0,0,8,1000000,10000,128,10,15,5,1000,11838.970023,84.466807,82.786000,100.788000,108.178000,123.869000,0.832470,10.000000,165.529404,1033072768,1093912,26102576488
zsq,zsq,0,0,8,1000000,10000,128,10,20,5,1000,10188.550387,98.149389,96.888000,114.748000,122.399000,139.001000,0.867770,10.000000,165.529404,1033072768,1093912,26075926135
zsq,zsq,0,0,8,1000000,10000,128,10,30,5,1000,7516.817231,133.035029,132.540000,152.812000,160.152000,177.574000,0.903770,10.000000,165.529404,1033072768,1093980,26088650160
zsq,zsq,0,0,8,1000000,10000,128,10,40,5,1000,5998.462366,166.709390,167.013000,189.955000,197.415000,213.856000,0.920420,10.000000,165.529404,1033072768,1093980,26146322449
zsq,zsq,0,0,8,1000000,10000,128,10,50,5,1000,5056.252772,197.774922,198.945000,224.847000,232.648000,248.928000,0.929880,10.000000,165.529404,1033072768,1093980,26124299905
zsq,zsq,0,0,8,1000000,10000,128,10,75,5,1000,3668.076334,272.622462,275.291000,311.383000,321.024000,339.665000,0.941910,10.000000,165.529404,1033072768,1093980,26131287007
zsq,zsq,0,0,8,1000000,10000,128,10,100,5,1000,2903.253581,344.441149,348.436000,396.319000,408.421000,432.263000,0.946230,10.000000,165.529404,1033072768,1093980,26135963757
zsq,zsq,0,0,8,1000000,10000,128,10,150,5,1000,2079.906605,480.790819,486.557000,559.412000,578.063000,608.736000,0.949400,10.000000,165.529404,1033072768,1093980,26141684005
zsq,zsq,0,0,8,1000000,10000,128,10,200,5,1000,1635.990489,611.250497,618.867000,717.094000,741.346000,781.999000,0.950800,10.000000,165.529404,1033072768,1093980,26128596187
zsq,zsq,0,0,8,1000000,10000,128,10,300,5,1000,1169.048697,855.396360,864.204000,1015.777000,1052.839000,1116.934000,0.951800,10.000000,165.529404,1033072768,1093980,26138598007
zsq,zsq,0,0,8,1000000,10000,128,10,400,5,1000,922.383836,1084.147359,1093.982000,1297.288000,1346.251000,1435.668000,0.952060,10.000000,165.529404,1033072768,1093980,26138963207
zsq,zsq,0,0,8,1000000,10000,128,10,800,5,1000,518.252433,1929.561611,1932.656000,2334.465000,2442.463000,2621.847000,0.952320,10.000000,165.529404,1033072768,1093980,26142241167
