ef_search,median_qps,top_k,recall_at_k,threads,M,ef_construction,query_count,repeats,build_seconds,sq
10,16641.98333,10,0.69995,1,16,100,10000,5,393.5048922,SQ8
15,13361.201,10,0.78,1,16,100,10000,5,393.5048922,SQ8
20,11209.89177,10,0.82799,1,16,100,10000,5,393.5048922,SQ8
30,8462.760414,10,0.88304,1,16,100,10000,5,393.5048922,SQ8
40,6830.479791,10,0.91358,1,16,100,10000,5,393.5048922,SQ8
50,5712.546042,10,0.93233,1,16,100,10000,5,393.5048922,SQ8
75,4030.6373,10,0.95733,1,16,100,10000,5,393.5048922,SQ8
100,3124.341347,10,0.96879,1,16,100,10000,5,393.5048922,SQ8
150,2158.296325,10,0.97863,1,16,100,10000,5,393.5048922,SQ8
200,1631.049475,10,0.9827,1,16,100,10000,5,393.5048922,SQ8
300,1085.279261,10,0.98551,1,16,100,10000,5,393.5048922,SQ8
400,794.0746756,10,0.98653,1,16,100,10000,5,393.5048922,SQ8
800,349.6182033,10,0.98736,1,16,100,10000,5,393.5048922,SQ8
