ef_search,repeat,elapsed_seconds,qps,top_k,recall_at_k,threads,M,ef_construction,query_count,build_seconds
10,0,0.484973987,20619.66264,10,0.70366,1,16,100,10000,307.5204103
10,1,0.485456954,20599.14874,10,0.70366,1,16,100,10000,307.5204103
10,2,0.484522834,20638.86219,10,0.70366,1,16,100,10000,307.5204103
10,3,0.482242222,20736.46716,10,0.70366,1,16,100,10000,307.5204103
10,4,0.483643517,20676.38591,10,0.70366,1,16,100,10000,307.5204103
15,0,0.61385306,16290.54354,10,0.7827,1,16,100,10000,307.5204103
15,1,0.61637505,16223.88836,10,0.7827,1,16,100,10000,307.5204103
15,2,0.614230108,16280.54351,10,0.7827,1,16,100,10000,307.5204103
15,3,0.614375859,16276.68121,10,0.7827,1,16,100,10000,307.5204103
15,4,0.618014092,16180.86081,10,0.7827,1,16,100,10000,307.5204103
20,0,0.74428841,13435.65191,10,0.83138,1,16,100,10000,307.5204103
20,1,0.742489144,13468.21039,10,0.83138,1,16,100,10000,307.5204103
20,2,0.743517821,13449.57675,10,0.83138,1,16,100,10000,307.5204103
20,3,0.745119872,13420.65938,10,0.83138,1,16,100,10000,307.5204103
20,4,0.740406378,13506.09651,10,0.83138,1,16,100,10000,307.5204103
30,0,0.993043868,10070.04859,10,0.88928,1,16,100,10000,307.5204103
30,1,0.992090177,10079.72887,10,0.88928,1,16,100,10000,307.5204103
30,2,0.994445483,10055.85542,10,0.88928,1,16,100,10000,307.5204103
30,3,0.990446444,10096.45707,10,0.88928,1,16,100,10000,307.5204103
30,4,0.99000243,10100.98531,10,0.88928,1,16,100,10000,307.5204103
40,0,1.24835064,8010.569851,10,0.92138,1,16,100,10000,307.5204103
40,1,1.245621754,8028.119265,10,0.92138,1,16,100,10000,307.5204103
40,2,1.238906251,8071.635761,10,0.92138,1,16,100,10000,307.5204103
40,3,1.246064358,8025.267664,10,0.92138,1,16,100,10000,307.5204103
40,4,1.248830315,8007.492996,10,0.92138,1,16,100,10000,307.5204103
50,0,1.487401651,6723.133589,10,0.9408,1,16,100,10000,307.5204103
50,1,1.48765894,6721.97083,10,0.9408,1,16,100,10000,307.5204103
50,2,1.484686626,6735.428086,10,0.9408,1,16,100,10000,307.5204103
50,3,1.487451604,6722.907806,10,0.9408,1,16,100,10000,307.5204103
50,4,1.494394785,6691.672174,10,0.9408,1,16,100,10000,307.5204103
75,0,2.121000762,4714.755496,10,0.96734,1,16,100,10000,307.5204103
75,1,2.123219368,4709.828928,10,0.96734,1,16,100,10000,307.5204103
75,2,2.128144688,4698.928628,10,0.96734,1,16,100,10000,307.5204103
75,3,2.132780006,4688.716123,10,0.96734,1,16,100,10000,307.5204103
75,4,2.132758144,4688.764185,10,0.96734,1,16,100,10000,307.5204103
100,0,2.775385464,3603.103111,10,0.97904,1,16,100,10000,307.5204103
100,1,2.768599944,3611.933902,10,0.97904,1,16,100,10000,307.5204103
100,2,2.764567792,3617.201947,10,0.97904,1,16,100,10000,307.5204103
100,3,2.772998145,3606.205081,10,0.97904,1,16,100,10000,307.5204103
100,4,2.771618151,3608.000617,10,0.97904,1,16,100,10000,307.5204103
150,0,4.055235867,2465.947809,10,0.98922,1,16,100,10000,307.5204103
150,1,4.062227662,2461.703487,10,0.98922,1,16,100,10000,307.5204103
150,2,4.054161046,2466.60157,10,0.98922,1,16,100,10000,307.5204103
150,3,4.066682147,2459.007033,10,0.98922,1,16,100,10000,307.5204103
150,4,4.069563853,2457.265781,10,0.98922,1,16,100,10000,307.5204103
200,0,5.404389032,1850.347919,10,0.99366,1,16,100,10000,307.5204103
200,1,5.394356279,1853.789309,10,0.99366,1,16,100,10000,307.5204103
200,2,5.425177692,1843.257598,10,0.99366,1,16,100,10000,307.5204103
200,3,5.403973421,1850.490227,10,0.99366,1,16,100,10000,307.5204103
200,4,5.415745805,1846.467755,10,0.99366,1,16,100,10000,307.5204103
300,0,8.251605656,1211.885349,10,0.99684,1,16,100,10000,307.5204103
300,1,8.231287927,1214.876711,10,0.99684,1,16,100,10000,307.5204103
300,2,8.24073317,1213.484261,10,0.99684,1,16,100,10000,307.5204103
300,3,8.277253726,1208.130176,10,0.99684,1,16,100,10000,307.5204103
300,4,8.284580072,1207.061784,10,0.99684,1,16,100,10000,307.5204103
400,0,11.33834723,881.9627584,10,0.99811,1,16,100,10000,307.5204103
400,1,11.33910526,881.9037982,10,0.99811,1,16,100,10000,307.5204103
400,2,11.34106782,881.7511859,10,0.99811,1,16,100,10000,307.5204103
400,3,11.35870304,880.3822023,10,0.99811,1,16,100,10000,307.5204103
400,4,11.35503532,880.6665696,10,0.99811,1,16,100,10000,307.5204103
800,0,26.33415595,379.734973,10,0.99914,1,16,100,10000,307.5204103
800,1,26.31119259,380.0663906,10,0.99914,1,16,100,10000,307.5204103
800,2,26.29367728,380.3195686,10,0.99914,1,16,100,10000,307.5204103
800,3,26.34582311,379.5668087,10,0.99914,1,16,100,10000,307.5204103
800,4,26.34557422,379.5703945,10,0.99914,1,16,100,10000,307.5204103
