ef_search,median_qps,top_k,recall_at_k,threads,M,ef_construction,query_count,repeats,build_seconds
10,20638.86219,10,0.70366,1,16,100,10000,5,307.5204103
15,16276.68121,10,0.7827,1,16,100,10000,5,307.5204103
20,13449.57675,10,0.83138,1,16,100,10000,5,307.5204103
30,10079.72887,10,0.88928,1,16,100,10000,5,307.5204103
40,8025.267664,10,0.92138,1,16,100,10000,5,307.5204103
50,6722.907806,10,0.9408,1,16,100,10000,5,307.5204103
75,4698.928628,10,0.96734,1,16,100,10000,5,307.5204103
100,3608.000617,10,0.97904,1,16,100,10000,5,307.5204103
150,2461.703487,10,0.98922,1,16,100,10000,5,307.5204103
200,1850.347919,10,0.99366,1,16,100,10000,5,307.5204103
300,1211.885349,10,0.99684,1,16,100,10000,5,307.5204103
400,881.7511859,10,0.99811,1,16,100,10000,5,307.5204103
800,379.734973,10,0.99914,1,16,100,10000,5,307.5204103
