ERQ9
search_range,Recall@100,QPS
100,0.954767,5284.38
110,0.960808,4744.91
120,0.966075,4452.88
130,0.970122,4115.55
140,0.973844,3792.92
150,0.976396,3689.34
175,0.981398,3138.86
200,0.98433,2903.81
250,0.988337,2506.69
300,0.99051,2091.88
400,0.992185,1647.03
800,0.994301,880.58

RaBitQ
search_range,Recall@100,QPS
100,0.955806,2140.0
110,0.962801,2081.81
120,0.967966,1991.32
130,0.972392,2271.81
140,0.976245,1817.68
150,0.97879,1828.14
175,0.984161,1561.19
200,0.987875,1378.2
400,0.99719,555.58
800,0.999326,434.46

ZSQ
search_range,Recall@100,QPS
100,0.885131,8929.85
110,0.929262,8321.61
120,0.93844,9117.77
130,0.952122,7779.92
150,0.962323,7907.26
175,0.970354,5636.6
200,0.972258,5275.07
250,0.976344,4918.16
300,0.976919,3972.05
400,0.978282,2844.74
800,0.979667,1732.29

Faiss-HNSW
efSearch,Recall@100,QPS
100,0.917456,4901.71
150,0.955482,3397.82
200,0.972777,2607.74
300,0.987362,1754.49
400,0.992876,1294.65
800,0.998304,584.41

HNSWlib
efSearch,Recall@100,QPS
100,0.923472,2261.47
150,0.960917,1625.55
200,0.977296,1278.95
300,0.990172,911.44
400,0.994978,716.4
800,0.999096,402.5

NGT
epsilon,Recall@100,QPS
-0.1,0.658316,3580.34
0.0,0.98177,1568.26
0.05,0.999003,682.32
0.1,0.999868,313.22
0.15,0.999889,159.35
0.2,0.999889,88.79
0.25,0.999889,52.96
0.3,0.999889,33.97

