scope,run_id,variant,quantizer,base_bit_len,ext_bit_len,code_bits_per_dim,top_k,search_range,run_count,qps,qps_min,qps_max,recall_at_k,recall_min,recall_max,avg_us,p50_us,p90_us,p95_us,p99_us,rounds,warmup_queries,base_count,query_count,dim,build_seconds,save_seconds,total_build_seconds,index_bytes,search_max_rss_kib,build_max_rss_kib,thread_count,link_range,link_candidate_size,build_iter_count,batch_size_mb,rotator_type,source_search_csv,source_build_csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,10,10,1,52448.33644,,,0.56298,,,19.066382,18.731,22.662,24.141,27.162,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1125540,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,10,15,1,42498.93298,,,0.67488,,,23.530003,23.101,27.442,29.052,32.783,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127184,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,10,20,1,34817.83681,,,0.7444,,,28.720911,28.272,32.843,34.703,39.163,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127184,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,10,30,1,26707.1016,,,0.82213,,,37.443224,36.943,41.963,43.944,48.463,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,10,40,1,21149.56716,,,0.86742,,,47.282292,46.783,52.224,54.444,59.565,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,10,50,1,17655.32024,,,0.89519,,,56.640151,56.154,61.885,64.125,69.186,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,10,75,1,12683.79605,,,0.93365,,,78.840751,78.386,84.636,86.996,92.497,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,10,100,1,9923.182536,,,0.95223,,,100.774121,100.298,107.138,109.748,115.659,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,10,150,1,6826.041092,,,0.9696,,,146.4978,146.291,154.042,156.852,163.293,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,10,200,1,5191.16217,,,0.97679,,,192.635092,192.684,201.785,205.066,213.016,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
